,岗位编号,求职者编号,标签
0,775040,5969825,0
1,815337,6212884,0
2,770107,5451198,0
3,43795661,320873919,1
4,798922,5650936,0
5,799873,6139430,0
6,815822,6318949,0
7,792498,5594836,1
8,772901,6040718,0
9,772882,5681321,0
10,779698,6083324,0
11,815819,5612945,0
12,842954,6315689,0
13,769754,5828504,0
14,782877,5973924,0
15,771109,5873085,0
16,819773,6212952,0
17,779236,6106216,0
18,816662,6211925,0
19,837948,318287927,1
20,823833,6218282,0
21,42898668,6305236,1
22,43237679,318489937,1
23,768780,5715196,0
24,768882,6025789,0
25,772901,5988240,0
26,813876,6226897,0
27,769120,6013492,0
28,785914,4818051,0
29,785787,6061823,0
30,772899,1894339,0
31,812926,6153518,0
32,764016,5991944,0
33,820194,6182185,0
34,795525,6157190,0
35,779698,6174300,0
36,825079,6245490,0
37,816862,5948828,0
38,802713,6168648,0
39,834876,6301304,0
40,834175,4641663,1
41,779497,4657914,0
42,772899,5942750,0
43,816434,6258080,0
44,775140,6045516,0
45,772901,5879364,0
46,834745,5709407,0
47,42513834,5141263,1
48,765725,70188,0
49,819057,6235232,0
50,840046,6302000,0
51,771540,5607584,0
52,724437,6061032,0
53,727367,5986118,0
54,835653,6130839,0
55,779495,5877397,0
56,771109,6032427,0
57,774781,5992209,0
58,822273,6251617,0
59,795540,6200881,0
60,765280,2051749,0
61,795668,5981824,0
62,43267862,316893927,1
63,807566,6213990,0
64,44085687,320587971,1
65,802839,2811606,0
66,773296,6002512,0
67,788929,6072217,0
68,765726,4556853,0
69,775522,6003069,1
70,769754,5697004,0
71,772206,5799334,0
72,769604,6053853,0
73,769695,4726363,0
74,807602,6210768,0
75,830093,6165295,0
76,832814,5557999,0
77,830887,5649693,0
78,816434,5828941,0
79,770533,5626850,0
80,43629651,319691900,1
81,841637,6317034,0
82,816153,5975816,0
83,43892657,4215687,1
84,804690,5662178,1
85,804551,6272543,0
86,779694,6270368,0
87,795526,6073511,0
88,786572,4776604,0
89,791744,5333275,0
90,791744,6160650,0
91,774769,6023842,0
92,807602,5821300,0
93,808994,5899140,0
94,806890,2040696,0
95,828854,6289900,0
96,806890,6161404,0
97,802715,5419304,1
98,773644,5936698,0
99,776878,316258716,1
100,772907,6030619,0
101,770088,6009780,0
102,774243,2350647,0
103,772906,6023907,0
104,834917,6308827,0
105,829293,6279126,0
106,782877,4625012,0
107,795526,6237305,0
108,791744,6145737,0
109,786572,6140928,0
110,798032,6296513,0
111,769742,6014197,0
112,795526,6268586,0
113,770860,5900725,0
114,802539,3009559,0
115,43668705,319653946,1
116,830257,6299667,0
117,789926,5592353,0
118,776874,4585051,1
119,799181,5589326,0
120,810726,4943315,0
121,43376683,5973083,1
122,828025,3482707,0
123,838037,6290064,0
124,815819,6302199,0
125,779975,5907292,0
126,791956,5004588,1
127,830285,6255486,0
128,727367,5628985,0
129,815822,5977389,0
130,799877,6127143,0
131,792036,5885588,0
132,763534,5986428,0
133,762693,6038864,0
134,820074,6289781,0
135,767230,4325020,0
136,808264,6183871,1
137,775169,5941852,0
138,786244,5751985,0
139,812235,5392287,0
140,815336,5753345,0
141,805853,4751221,1
142,772907,5602477,0
143,785914,6066281,0
144,807567,5449397,0
145,777354,2284307,0
146,771514,1086939,0
147,838335,5246570,0
148,806649,4432759,0
149,825638,6233848,0
150,806692,5862900,0
151,772899,6049979,0
152,772906,5994138,0
153,793761,6067955,0
154,513553,5957953,0
155,765726,5244755,0
156,835752,5718676,0
157,816666,6197433,0
158,776874,6059534,1
159,785813,6108946,0
160,44254655,5672968,1
161,769115,6010284,0
162,826401,6217804,0
163,816530,6170675,0
164,834033,6108812,0
165,809902,5811383,0
166,513553,5632725,0
167,779698,6044442,0
168,808558,6213217,0
169,815613,6319198,0
170,805894,6173977,0
171,42911696,5906961,1
172,829716,5243119,0
173,788929,5840877,0
174,815822,6202301,0
175,769742,6010164,0
176,829236,6010465,1
177,771109,5999712,0
178,812254,6278716,0
179,824313,6300128,0
180,810006,6187655,0
181,791744,6165330,0
182,135144,6289106,0
183,768882,4728201,0
184,816433,467755,0
185,786649,5818683,0
186,793714,5704004,1
187,804900,6202996,0
188,43621663,320135948,1
189,775140,6041262,0
190,773645,6274183,0
191,812235,6127631,0
192,769742,6072618,0
193,775089,6087800,0
194,762697,5896012,0
195,793761,5875648,0
196,813149,6233848,0
197,831329,5984452,0
198,772515,6045116,0
199,775104,5021228,0
200,42937682,317972931,1
201,43922680,318515930,1
202,814613,6115931,0
203,831329,5717561,0
204,772899,5685871,0
205,771540,5904040,0
206,809419,6084982,0
207,801330,6186237,0
208,820014,5554335,0
209,786565,6249817,0
210,813877,6168603,0
211,792035,6108613,0
212,832461,5082104,0
213,776192,6057409,0
214,771417,6087995,0
215,832019,6160136,0
216,775040,6061410,0
217,772867,6091395,0
218,833813,6100068,0
219,807602,5773729,0
220,803215,6159365,0
221,777448,5506425,0
222,776876,6052370,0
223,844056,5570558,0
224,811738,6251610,0
225,768869,6015385,0
