,0,1
41,岗位编号平均被匹配数,677
1,求职者编号,671
0,岗位编号,342
32,求职者求职数,320
56,岗位类别平均被匹配数,318
46,应聘者专业平均被匹配数,249
3,工作年限,206
42,求职者编号平均被匹配数,190
18,自荐信字数,187
27,具体要求字数,178
30,平均主要业绩字数,178
2,性别,159
31,总主要业绩字数,148
44,工作年限平均被匹配数,132
43,性别平均被匹配数,126
33,岗位求职者数,126
12,自荐信,122
70,岗位编号_工作年限_std,104
94,岗位编号_总主要业绩字数_mode_rate,100
21,招聘职位,95
57,岗位编号_岗位类别_nunique,93
63,岗位编号_年龄_std,93
11,专业特长,92
110,岗位编号_性别_mode_rate,90
67,岗位编号_工作年限_mean,86
5,应聘者专业,84
77,岗位编号_工作经历数_std,80
101,岗位编号_最高学历_mode_rate,80
13,岗位类别,79
74,岗位编号_工作经历数_mean,78
10,语言能力,78
48,可到职天数平均被匹配数,77
7,最近工作岗位,75
15,所在行业,73
6,年龄,72
17,其他说明,71
26,具体要求,71
73,岗位编号_工作年限_mode_rate,71
80,岗位编号_工作经历数_mode_rate,70
72,岗位编号_工作年限_mode,69
9,当前工作所在地,67
47,年龄平均被匹配数,67
50,工作经历数平均被匹配数,62
54,岗位工作地点平均被匹配数,61
92,岗位编号_总主要业绩字数_median,61
60,岗位编号_年龄_mean,60
108,岗位编号_可到职天数_mode_rate,60
84,岗位编号_项目经验数_std,59
105,岗位编号_可到职天数_std,58
8,最近所在行业,58
58,岗位编号_应聘者专业_nunique,57
112,岗位编号_工作地点符合否_mode_rate,54
88,岗位编号_总主要业绩字数_mean,52
95,岗位编号_最高学历_mean,51
22,对应聘者的专业要求,49
91,岗位编号_总主要业绩字数_std,49
45,最高学历平均被匹配数,48
98,岗位编号_最高学历_std,48
102,岗位编号_可到职天数_mean,45
93,岗位编号_总主要业绩字数_mode,43
81,岗位编号_项目经验数_mean,43
89,岗位编号_总主要业绩字数_max,42
66,岗位编号_年龄_mode_rate,41
52,专业是否符合平均被匹配数,41
51,工作地点符合否平均被匹配数,36
61,岗位编号_年龄_max,33
55,工作地点平均被匹配数,33
53,工作年限是否符合平均被匹配数,33
75,岗位编号_工作经历数_max,30
59,岗位编号_工作地点_nunique,30
37,汉语语言能力,26
62,岗位编号_年龄_min,26
109,岗位编号_性别_mode,25
87,岗位编号_项目经验数_mode_rate,23
19,招聘对象代码,21
16,可到职天数,20
64,岗位编号_年龄_median,20
4,最高学历,19
65,岗位编号_年龄_mode,19
86,岗位编号_项目经验数_mode,17
23,岗位最低学历,17
90,岗位编号_总主要业绩字数_min,17
29,工作经历数,16
82,岗位编号_项目经验数_max,14
68,岗位编号_工作年限_max,14
14,工作地点,13
35,专业是否符合,11
96,岗位编号_最高学历_max,11
25,岗位工作年限,11
71,岗位编号_工作年限_median,10
83,岗位编号_项目经验数_min,9
104,岗位编号_可到职天数_min,8
20,招聘对象,8
85,岗位编号_项目经验数_median,8
24,岗位工作地点,8
39,粤语语言能力,7
78,岗位编号_工作经历数_median,6
38,英语语言能力,6
97,岗位编号_最高学历_min,5
28,项目经验数,5
49,项目经验数平均被匹配数,5
99,岗位编号_最高学历_median,3
111,岗位编号_工作地点符合否_mode,3
100,岗位编号_最高学历_mode,2
36,工作年限是否符合,2
69,岗位编号_工作年限_min,1
79,岗位编号_工作经历数_mode,1
76,岗位编号_工作经历数_min,1
103,岗位编号_可到职天数_max,1
107,岗位编号_可到职天数_mode,0
106,岗位编号_可到职天数_median,0
34,工作地点符合否,0
40,日语语言能力,0
